wavenumber	counts
424.791	2.2525
425.377	2.1
425.963	2.25
426.55	2.2575
427.136	2.26
427.724	2.08
428.31	2.195
428.896	2.2275
429.482	2.2125
430.068	2.155
430.654	2.135
431.242	2.245
431.828	2.095
432.414	2.05
432.999	2.22
433.585	2.1575
434.171	2.0475
434.757	2.08
435.342	2.14
435.928	2.1125
436.513	2.2025
437.099	2.145
437.684	2.1375
438.27	1.955
438.855	2.15
439.441	2.18
440.026	2.09
440.611	2.17
441.197	2.0825
441.782	2.1675
442.367	2.075
442.952	2.065
443.537	1.93
444.122	2.1025
444.707	2.1
445.292	2.1125
445.877	2.0025
446.46	2.0675
447.045	2.035
447.63	2.09
448.215	2.095
448.799	2.08
449.384	1.975
449.969	2.0875
450.552	1.925
451.136	2.12
451.721	2.0925
452.305	2.025
452.89	2.025
453.472	2.08
454.057	1.86
454.641	2.0175
455.223	2.0225
455.808	2.06
456.392	1.895
456.976	2.0575
457.558	1.89
458.143	1.98
458.727	2.035
459.309	1.9375
459.893	1.9475
460.477	1.925
461.059	1.99
461.643	1.9725
462.227	2.08
462.809	2.0025
463.392	2.0225
463.974	1.9975
464.558	1.98
465.142	1.95
465.723	1.965
466.307	2.04
466.889	1.9875
467.472	1.885
468.054	1.9
468.637	1.975
469.219	1.885
469.802	1.9875
470.383	1.9425
470.967	1.8675
471.548	1.93
472.131	1.885
472.713	2.0025
473.296	1.9625
473.877	1.8975
474.458	1.9075
475.041	2.05
475.622	2.0175
476.205	1.84
476.786	1.8075
477.367	1.88
477.95	1.95
478.531	1.78
479.112	1.8375
479.694	1.82
480.275	1.94
480.856	1.91
481.438	1.74
482.019	1.8875
482.6	1.925
483.182	1.835
483.763	1.925
484.343	1.92
484.924	1.925
485.506	1.825
486.086	1.855
486.667	1.84
487.247	1.915
487.827	1.895
488.41	1.9375
488.99	1.8725
489.57	1.815
490.15	1.81
490.73	1.8075
491.31	1.85
491.892	1.8225
492.472	1.86
493.052	1.865
493.632	1.86
494.212	1.82
494.791	1.8175
495.371	1.89
495.951	1.82
496.531	1.81
497.11	1.81
497.69	1.82
498.27	1.885
498.849	1.8275
499.429	1.81
500.008	1.86
500.587	1.79
501.167	1.865
501.746	1.83
502.326	1.69
502.905	1.785
503.484	1.875
504.063	1.885
504.643	1.79
505.222	1.79
505.801	1.805
506.38	1.94
506.959	1.78
507.538	1.8425
508.115	1.83
508.694	1.77
509.273	1.78
509.851	1.805
510.43	1.765
511.009	1.8525
511.586	1.9175
512.164	1.775
512.743	1.7875
513.322	1.9375
513.9	1.7925
514.477	1.785
515.055	1.87
515.634	1.82
516.212	1.865
516.789	1.8975
517.367	1.805
517.945	2.035
518.522	2.075
519.1	2.26
519.678	2.3725
520.254	2.32
520.832	2.225
521.411	2.38
521.987	2.425
522.565	2.295
523.143	2.16
523.719	2.04
524.297	1.975
