wavenumber	counts
257.936	124.965
258.316	123.74
258.697	125.365
259.077	122.795
259.459	122.835
259.839	121.39
260.22	120.355
260.6	120.62
260.982	119.305
261.362	120.17
261.743	121
262.123	121.69
262.503	121.52
262.884	121.31
263.265	122.24
263.646	121.615
264.026	123.06
264.406	123.31
264.786	122.735
265.166	122.015
265.547	123.24
265.927	122.23
266.307	123.845
266.687	125.74
267.067	124.595
267.447	125.22
267.827	124.37
268.207	126.105
268.587	124.67
268.967	125.415
269.347	125.07
269.727	126.075
270.107	125.24
270.487	126.03
270.867	126.55
271.247	128.985
271.626	127.62
272.006	127.33
272.386	129.675
272.766	129.34
273.144	129.535
273.524	130.645
273.904	131.61
274.284	130.57
274.663	131.41
275.043	131.91
275.421	131.76
275.801	129.97
276.18	130.175
276.56	131.355
276.938	130.555
277.318	130.595
277.697	130.4
278.077	130.75
278.455	130.205
278.834	130.415
279.214	130.88
279.592	133.3
279.971	131.72
280.351	132.84
280.729	133.46
281.108	134.26
281.487	135.065
281.865	133.66
282.245	136.26
282.622	134.96
283.002	135.99
283.381	133.665
283.759	135.42
284.138	134.57
284.516	134.11
284.895	133.94
285.273	134.42
285.652	133.55
286.03	133.035
286.409	134.04
286.786	133.5
287.165	134.53
287.543	134.29
287.922	135.21
288.3	136.355
288.677	135.99
289.056	135.59
289.434	136.165
289.813	137.41
290.19	136.37
290.568	136.8
290.947	136.775
291.324	137.8
291.701	136.94
292.08	137.905
292.458	136.305
292.835	137.645
293.214	137.155
293.591	136.66
293.968	135.855
294.346	136.89
294.724	136.28
295.102	136.725
295.479	136.505
295.856	137.485
296.235	136.995
296.612	136.545
296.989	137.07
297.366	137.76
297.743	137.62
298.12	139.285
298.499	138.48
298.876	139.085
299.253	140.235
299.63	140.33
300.007	140.2
300.384	139.06
300.761	139.1
301.138	137.75
301.515	138.725
301.892	138.86
302.269	138.385
302.646	136.69
303.022	137.035
303.399	137.08
303.776	137.075
304.153	137.63
304.53	138.07
304.906	139.82
305.283	139.705
305.66	140.265
306.037	139.89
306.413	139.15
306.79	140.965
307.167	140.65
307.543	141.365
307.92	138.71
308.295	140.72
308.672	137.23
309.048	137.66
309.425	140.185
309.801	138.715
310.178	137.425
310.553	138.585
310.929	138.38
311.306	137.27
311.682	138.285
312.057	137.535
312.433	138.105
312.81	137.095
313.186	136.22
313.561	137.285
313.937	137.17
314.314	137.095
314.688	136.685
315.065	138.79
315.441	137.94
315.816	139.08
316.192	137.66
316.568	137.795
316.943	135.54
317.319	136.385
317.694	135.22
318.07	133.25
318.446	136.005
318.821	135.225
319.197	134.105
319.571	133.3
319.947	133.325
320.322	133.66
320.698	133.18
321.072	133.2
321.448	132.065
321.823	132.365
322.199	133.545
322.573	132.585
322.948	132.905
323.323	132.86
323.698	133.515
324.074	133.15
324.448	134.75
324.822	131.93
325.198	131.88
325.572	131.86
325.948	131.79
326.322	129.87
326.697	131.47
327.072	128.815
327.447	129.65
327.821	129.405
328.195	129.2
328.57	129.89
328.945	129.535
329.319	130.035
329.693	129.805
330.068	131.58
330.442	131.02
330.816	130.23
331.191	130.61
331.565	131.86
331.94	129.79
332.314	131.33
332.688	130.925
333.062	132.19
333.436	129.53
333.81	130.03
334.184	131.825
334.559	128.79
334.933	131.215
335.307	129.96
335.68	130.63
336.054	128.77
336.428	128.385
336.802	128.72
337.175	128.73
337.549	128.805
337.923	128.86
338.296	129.775
338.67	130.335
339.044	130.14
339.417	128.855
339.791	131.18
340.165	132.54
340.538	130.67
340.912	130.865
341.284	130.17
341.657	131.42
342.031	132.315
342.404	130.535
342.778	130.64
343.151	130.48
343.525	128.945
343.897	130.195
344.27	131.01
344.643	129.9
345.017	129.05
345.39	127.995
345.762	130.2
346.135	131.195
346.509	128.73
346.882	130.63
347.254	130.145
347.627	129.63
348	131.46
348.373	132.385
348.745	130.81
349.118	131.82
349.491	131.33
349.863	132.065
350.236	131.5
350.608	130.48
350.981	129.96
351.354	131.135
351.725	131.34
352.098	129.35
352.47	130.29
352.843	129.53
353.216	131.01
353.587	128.395
353.96	129.38
354.332	127.67
354.705	130.17
355.076	129.485
355.449	129.385
355.82	130.22
356.193	130.945
356.564	130.21
356.936	131.325
357.308	131.17
357.68	131.275
358.052	130.725
358.424	129.67
358.795	130.01
359.168	131.275
359.539	130.645
359.911	130.165
360.283	130.005
360.654	130.115
361.026	129.315
361.397	129.735
361.769	130
362.14	129.275
362.512	130.615
362.883	129.535
363.254	131.675
363.625	131.695
363.998	130.84
364.369	130.025
364.74	130.675
365.111	131.1
365.483	132.435
365.854	131.765
366.225	131.52
366.596	130.965
366.966	131.575
367.337	131.83
367.708	132.895
368.08	132.29
368.451	130.52
368.822	130.245
369.193	129.79
369.563	129.96
369.934	128.91
370.305	130.84
370.675	130.025
371.046	129.775
371.417	129.425
371.787	129.855
372.158	130.95
372.528	130.415
372.899	131.265
373.269	131.1
373.64	130.96
374.01	131.32
374.381	129.61
374.751	130.775
375.122	130.45
375.491	130.885
375.861	131.315
376.232	129.55
376.602	128.28
376.972	128.785
377.343	127.805
377.713	127.93
378.082	128.89
378.452	126.52
378.822	126.79
379.193	127.37
379.562	125.9
379.932	127.205
380.302	127.31
380.672	125.345
381.041	126.745
381.411	126.925
381.781	126.97
382.151	127.445
382.52	126.615
382.89	128.125
383.26	127.41
383.629	126.565
383.999	125.51
384.367	125.8
384.737	124.61
385.107	124.715
385.476	124.195
385.846	124.545
386.214	123.085
386.584	122.845
386.954	124.44
387.322	124.15
387.692	121.505
388.06	122.89
388.43	121.18
388.799	122.425
389.168	121.135
389.537	122.27
389.906	121.86
390.275	122.565
390.643	123.48
391.013	121.81
391.381	122.25
391.751	123.095
392.119	121.53
392.487	121.65
392.857	120.465
393.225	120.82
393.593	119.965
393.962	119.34
394.33	119.065
394.698	118.15
395.068	118.71
395.436	118.755
395.804	117.19
396.173	119.11
396.541	115.82
396.909	117.245
397.277	116.795
397.647	117.91
398.015	116.545
398.382	117.175
398.75	117.15
399.118	118.205
399.487	118.215
399.855	118.005
400.223	117.025
400.591	117.81
400.959	115.135
401.326	116.1
401.694	113.72
402.062	113.485
402.429	114.32
402.799	113.69
403.166	112.65
403.534	112.375
403.902	112.74
404.269	112.06
404.637	112
405.004	111.79
405.372	112.32
405.739	112.59
406.107	113.025
406.474	112.47
406.842	111.02
407.208	110.88
407.575	112.715
407.943	110.985
408.31	111.17
408.678	111.455
409.045	110.55
409.412	110.2
409.78	110.07
410.147	109.9
410.513	108.85
410.88	107.69
411.247	107.925
411.615	107.95
411.982	107.295
412.348	107.39
412.715	106.865
413.082	106.095
413.449	105.995
413.815	107.255
414.182	106.21
414.549	106.5
414.916	105.67
415.282	106.44
415.649	105.395
416.016	106.455
416.382	106.375
416.749	104.865
417.116	105.555
417.481	104.725
417.848	104.1
418.214	103.405
418.581	103.025
418.947	103.565
419.313	101.18
419.68	102.7
420.045	101.86
420.412	100.94
420.777	101.655
421.144	100.27
421.509	99.54
421.876	99.82
422.242	100.68
422.608	98.92
422.974	99.56
423.34	100.24
423.705	100.16
424.071	99.955
424.437	99.185
424.803	99.655
425.169	98.405
425.534	99.615
425.899	98.465
426.266	97.86
426.631	97.86
426.996	93.245
427.363	89.185
427.728	83.27
428.093	81
428.459	82.1
428.824	85.705
429.189	88.375
429.554	89.74
429.92	92.455
430.285	93.95
430.65	94.07
431.015	93.1
431.38	92.175
431.746	93.3
432.111	90.865
432.476	91.975
432.841	90.955
433.206	91.57
433.57	89.84
433.937	90.83
434.301	89.95
434.666	89.47
435.031	88.79
435.395	88.71
435.76	88.735
436.125	88.27
436.489	87.615
436.854	86.675
437.218	86.46
437.583	86.08
437.948	85.8
438.312	86
438.677	84.605
439.041	85.63
439.406	85.48
439.77	86.44
440.135	85.6
440.499	84.76
440.863	83.25
441.228	83.46
441.591	83.47
441.955	83.07
442.32	83.24
442.684	82.815
443.048	81.445
