wavenumber	counts
345.837	34.6316
346.355	38.6316
346.873	38.1053
347.391	39.4737
347.91	32.1053
348.428	35.3684
348.946	36.4211
349.464	30
349.983	36.4211
350.501	34.9474
351.019	33.0526
351.536	36.6316
352.054	32
352.572	36.3158
353.089	31.6842
353.608	35.5789
354.126	36.9474
354.643	31.7895
355.161	40.3158
355.678	37.1579
356.195	33.3684
356.713	37.5789
357.23	33.4737
357.747	31.5789
358.265	31.3684
358.782	35.0526
359.299	31.2632
359.816	33.3684
360.333	31.6842
360.85	34.6316
361.367	31.5789
361.884	31.8947
362.401	30.9474
362.918	32.3158
363.435	34.2105
363.952	35.7895
364.469	35.8947
364.986	32.3158
365.503	33.0526
366.019	33.2632
366.536	34.8421
367.053	34.9474
367.568	34.8421
368.084	34.6316
368.601	36.1053
369.117	31.0526
369.634	32.5263
370.15	34.4211
370.665	33.3684
371.182	32
371.698	28.3158
372.214	33.6842
372.731	29.6842
373.245	34.8421
373.762	36.7368
374.278	33.6842
374.794	36.2105
375.308	29.7895
375.825	31.7895
376.341	35.6842
376.855	31.7895
377.371	33.6842
377.887	34.8421
378.401	36.1053
378.917	34
379.433	32.4211
379.947	30.9474
380.463	33.3684
380.977	30.4211
381.493	31.8947
382.009	30.2105
382.523	34.6316
383.039	34.8421
383.553	33.7895
384.068	34.6316
384.582	35.7895
385.098	35.4737
385.613	38.3158
386.127	35.1579
386.643	34.4211
387.156	29.5789
387.672	33.8947
388.185	33.1579
388.699	27.5789
389.214	31.1579
389.728	32.1053
390.243	37.6842
390.757	34.3158
391.272	33.7895
391.785	38.2105
392.299	35.4737
392.814	34.4211
393.327	34.6316
393.842	30
394.356	34.6316
394.869	32.6316
395.384	34.2105
395.897	34.5263
396.41	36.8421
396.925	33.1579
397.438	37.0526
397.951	34.5263
398.464	32.7368
398.979	34.1053
399.492	35.4737
400.005	37.7895
400.518	36.1053
401.032	38.2105
401.545	35.3684
402.058	34.6316
402.571	35.8947
403.083	32.7368
403.598	36.4211
404.111	38
404.623	34.6316
405.136	37.2632
405.648	32.9474
406.161	36.2105
406.673	37.0526
407.186	38.6316
407.7	35.1579
408.213	42
408.725	37.0526
409.237	40.9474
409.75	43.1579
410.262	42.8421
410.774	42.3158
411.287	42.9474
411.799	46
412.311	47.5789
412.823	45.1579
413.335	51.6842
413.847	47.5789
414.359	48.6316
414.871	47.3684
415.383	53.6842
415.895	57.5789
416.407	59.4737
416.919	62.9474
417.431	69.7895
417.941	91.3684
418.453	111.895
418.965	138.947
419.477	177.053
419.988	299.158
420.5	620.316
421.012	3349.58
421.521	8270.11
422.033	8944.63
422.545	8381.47
423.056	5636.42
423.568	1723.05
424.077	665.789
424.589	290.211
425.1	159.158
425.612	120
426.121	99.2632
426.632	84.1053
427.144	71.0526
427.655	60.4211
428.164	63.579
428.676	55.5789
429.187	53.5789
429.696	42.2105
430.207	48.5263
430.718	40.4211
431.228	46.2105
431.739	44.8421
432.248	41.7895
432.759	44
433.27	34.4211
433.779	40.7368
434.29	38.7368
434.799	38.8421
435.31	35.2632
435.82	35.6842
436.329	38.2105
436.84	35.5789
437.349	34.6316
437.86	33.1579
438.368	36
438.879	34.3158
439.388	39.7895
439.898	34.1053
440.407	34.3158
440.916	35.5789
441.426	32
441.935	33.7895
442.445	37.0526
442.954	37.0526
443.464	36.6316
443.972	34.8421
444.481	36.7368
444.991	33.0526
445.5	36.2105
446.008	38.8421
446.518	38.6316
447.026	39.6842
447.535	36.3158
448.045	41.7895
448.553	40.6316
449.061	39.8947
449.571	40.6316
450.079	39.579
450.587	44.1053
451.095	39.7895
451.605	41.7895
452.113	45.8947
452.621	41.8947
453.129	42.9474
453.637	49.0526
454.147	48.8421
454.655	39.7895
455.162	50.7368
455.67	62.7368
456.178	63.2632
456.686	69.7895
457.193	84.9474
457.703	131.789
458.211	493.684
458.718	963.263
459.226	1048.63
459.733	867.79
460.241	617.579
460.748	212.737
461.256	122
461.763	108.316
462.271	109.789
462.778	113.158
463.285	114.526
463.793	131.579
464.3	136.316
464.807	148.105
465.315	177.263
465.822	198.842
466.329	242.105
466.836	309.579
467.343	402.737
467.85	557.789
468.357	926.737
468.864	2238.53
469.371	4606
469.876	22179.8
470.383	33437.1
470.89	33824.3
471.397	26104.5
471.904	15944.5
472.411	3159.16
472.916	1122
473.422	605.474
473.929	412.105
474.436	296.526
474.943	228.737
475.447	188.737
475.954	168
476.461	132.105
476.967	114.842
477.472	107.474
477.978	92.6316
478.485	80.7368
478.989	81.1579
479.496	70.7368
480.002	70.421
480.507	66.7369
481.013	60.4211
