wavenumber	counts
197.067	41.6842
197.674	10.2105
198.283	45.8947
198.893	51.7895
199.502	53.6842
200.109	55.6842
200.718	63.6842
201.327	62.6316
201.934	66.8421
202.543	64.8421
203.15	69.3684
203.759	64.1053
204.368	64.1053
204.975	67.6842
205.584	66.4211
206.19	70
206.799	64.1053
207.408	66.7368
208.014	66
208.623	67.8947
209.229	65.3684
209.838	61.8947
210.444	65.4737
211.053	64.7368
211.659	68
212.267	65.3684
212.874	64.2105
213.482	67.7895
214.088	67.2632
214.696	66
215.302	68.7368
215.911	72.6316
216.517	90.6316
217.122	96.4211
217.731	91.5789
218.336	96.3158
218.944	95.6842
219.55	92.9474
220.156	91.1579
220.764	90.2105
221.369	81.5789
221.977	77.1579
222.583	70.5263
223.188	66.4211
223.796	66.8421
224.401	63.7895
225.007	67.7895
225.614	64.6316
226.22	64
226.825	58.1053
227.43	67.0526
228.038	61.4737
228.643	66.3158
229.248	62.3158
229.853	63.8947
230.46	67.4737
231.065	63.7895
231.671	66
232.275	62.2105
232.88	59.1579
233.487	64.2105
234.092	60
234.697	71.7895
235.302	60.6316
235.907	70
236.511	67.3684
237.118	63.7895
237.723	65.2632
238.327	63.2632
238.932	60.3158
239.536	65.1579
240.141	63.1579
240.745	63.3684
241.35	62.6316
241.954	61.4737
242.558	62.6316
243.162	66.5263
243.767	66.3158
244.371	64.4211
244.975	62.9474
245.579	62.2105
246.183	65.3684
246.787	62
247.391	62.7368
247.995	64.4211
248.599	63.8947
249.203	64.8421
249.807	67.1579
250.411	68.421
251.014	60.5263
251.618	69.8947
252.222	67.1579
252.825	66.4211
253.429	64.4211
254.03	66.8421
254.634	65.1579
255.237	68.7368
255.841	64.9474
256.444	64.1053
257.048	67.4737
257.651	69.6842
258.252	67.4737
258.855	69.8947
259.458	66.7368
260.062	67.3684
260.665	72.5263
261.266	71.4737
261.869	80.2105
262.472	77.4737
263.075	80.3158
263.676	79.3684
264.278	84.6316
264.881	85.8947
265.482	94.9474
266.085	91.1579
266.688	89.0526
267.288	96.421
267.891	106.842
268.493	108.421
269.094	122.105
269.696	129.895
270.299	146.842
270.899	158.421
271.502	180.632
272.104	208.947
272.704	237.684
273.307	304.947
273.907	400.105
274.509	587.368
275.109	1112.21
275.711	4146.42
276.313	13981.7
276.913	14487.9
277.515	14110.2
278.115	15106.6
278.717	13759.3
279.317	11682
279.919	11094.3
280.519	10383.4
281.12	9485.58
281.72	7134.95
282.322	1570.84
282.921	526.842
283.521	327.474
284.122	216.421
284.722	183.263
285.323	146.105
285.923	130.632
286.522	119.053
287.124	104.211
287.723	90.3158
288.324	94.6316
288.923	91.1579
289.523	83.1579
290.124	81.8947
290.723	75.4737
291.322	76.2105
291.923	71.7895
292.522	65.6842
293.121	63.2632
293.72	68.4211
294.321	69.0526
294.919	65.4737
295.518	65.8947
296.117	66.3158
296.718	64.9474
297.316	64.3158
297.915	68
298.514	64.8421
299.112	63.0526
299.713	63.6842
300.311	57.6842
300.91	60.7368
301.508	61.7895
302.106	61.8947
302.705	58.8421
303.305	60.3158
303.903	54.4211
304.501	57.2632
305.099	59.2632
305.698	53.8947
306.296	56
306.894	52.3158
307.492	59.3684
308.09	59.1579
308.688	55.0526
309.285	54.8421
309.883	59.1579
