wavenumber,counts,wavenumber_adjusted
197.067,1.664,198.946145840736
197.674,1.92133,199.553145840736
198.283,2.264,200.162145840736
198.893,2.47733,200.772145840736
199.502,2.552,201.381145840736
200.109,2.85867,201.988145840736
200.718,2.956,202.597145840736
201.327,3.004,203.206145840736
201.934,3.09467,203.813145840736
202.543,3.10533,204.422145840736
203.15,3.05333,205.029145840736
203.759,3.096,205.638145840736
204.368,3.08533,206.247145840736
204.975,3.06267,206.854145840736
205.584,3.008,207.463145840736
206.19,3.10667,208.069145840736
206.799,3.10933,208.678145840736
207.408,3.07067,209.287145840736
208.014,3.14,209.893145840736
208.623,3.12,210.502145840736
209.229,3.072,211.108145840736
209.838,3.14,211.717145840736
210.444,3.00533,212.323145840736
211.053,3.26133,212.932145840736
211.659,3.12933,213.538145840736
212.267,3.12667,214.146145840736
212.874,2.94667,214.753145840736
213.482,3.17733,215.361145840736
214.088,3.10667,215.967145840736
214.696,2.988,216.575145840736
215.302,3.11867,217.181145840736
215.911,3.104,217.790145840736
216.517,3.11067,218.396145840736
217.122,3.09867,219.001145840736
217.731,3.12267,219.610145840736
218.336,3.15467,220.215145840736
218.944,3.20267,220.823145840736
219.55,3.212,221.429145840736
220.156,3.232,222.035145840736
220.764,3.16267,222.643145840736
221.369,3.15867,223.248145840736
221.977,3.10267,223.856145840736
222.583,3.22267,224.462145840736
223.188,3.33467,225.067145840736
223.796,3.19733,225.675145840736
224.401,3.312,226.280145840736
225.007,3.12533,226.886145840736
225.614,3.26933,227.493145840736
226.22,3.32,228.099145840736
226.825,3.36,228.704145840736
227.43,3.21867,229.309145840736
228.038,3.36933,229.917145840736
228.643,3.30933,230.522145840736
229.248,3.31867,231.127145840736
229.853,3.42533,231.732145840736
230.46,3.352,232.339145840736
231.065,3.476,232.944145840736
231.671,3.376,233.550145840736
232.275,3.34133,234.154145840736
232.88,3.38667,234.759145840736
233.487,3.42533,235.366145840736
234.092,3.50933,235.971145840736
234.697,3.47867,236.576145840736
235.302,3.47467,237.181145840736
235.907,3.55333,237.786145840736
236.511,3.41067,238.390145840736
237.118,3.44267,238.997145840736
237.723,3.49067,239.602145840736
238.327,3.61467,240.206145840736
238.932,3.48667,240.811145840736
239.536,3.65067,241.415145840736
240.141,3.64533,242.020145840736
240.745,3.52,242.624145840736
241.35,3.53067,243.229145840736
241.954,3.53067,243.833145840736
242.558,3.51467,244.437145840736
243.162,3.61467,245.041145840736
243.767,3.57867,245.646145840736
244.371,3.68533,246.250145840736
244.975,3.66933,246.854145840736
245.579,3.66267,247.458145840736
246.183,3.68933,248.062145840736
246.787,3.73733,248.666145840736
247.391,3.73333,249.270145840736
247.995,3.64533,249.874145840736
248.599,3.66,250.478145840736
249.203,3.58267,251.082145840736
249.807,3.63867,251.686145840736
250.411,3.61067,252.290145840736
251.014,3.65067,252.893145840736
251.618,3.572,253.497145840736
252.222,3.572,254.101145840736
252.825,3.68667,254.704145840736
253.429,3.66933,255.308145840736
254.03,3.604,255.909145840736
254.634,3.56667,256.513145840736
255.237,3.51867,257.116145840736
255.841,3.57333,257.720145840736
256.444,3.50933,258.323145840736
257.048,3.65867,258.927145840736
257.651,3.46533,259.530145840736
258.252,3.60267,260.131145840736
258.855,3.628,260.734145840736
259.458,3.63467,261.337145840736
260.062,3.57733,261.941145840736
260.665,3.53067,262.544145840736
261.266,3.57067,263.145145840736
261.869,3.644,263.748145840736
262.472,3.53467,264.351145840736
263.075,3.45467,264.954145840736
263.676,3.49067,265.555145840736
264.278,3.55733,266.157145840736
264.881,3.6,266.760145840736
265.482,3.592,267.361145840736
266.085,3.55067,267.964145840736
266.688,3.69733,268.567145840736
267.288,3.748,269.167145840736
267.891,3.556,269.770145840736
268.493,3.57067,270.372145840736
269.094,3.57867,270.973145840736
269.696,3.60933,271.575145840736
270.299,3.656,272.178145840736
270.899,3.67867,272.778145840736
271.502,3.508,273.381145840736
272.104,3.58133,273.983145840736
272.704,3.716,274.583145840736
273.307,3.608,275.186145840736
273.907,3.66667,275.786145840736
