wavenumber,counts,wavenumber_adjusted
197.067,1.376,198.946145840736
197.674,1.658,199.553145840736
198.283,2.018,200.162145840736
198.893,2.132,200.772145840736
199.502,2.454,201.381145840736
200.109,2.512,201.988145840736
200.718,2.632,202.597145840736
201.327,2.768,203.206145840736
201.934,2.676,203.813145840736
202.543,2.78,204.422145840736
203.15,2.576,205.029145840736
203.759,2.68,205.638145840736
204.368,2.732,206.247145840736
204.975,2.764,206.854145840736
205.584,2.732,207.463145840736
206.19,2.68,208.069145840736
206.799,2.734,208.678145840736
207.408,2.718,209.287145840736
208.014,2.682,209.893145840736
208.623,2.772,210.502145840736
209.229,2.64,211.108145840736
209.838,2.644,211.717145840736
210.444,2.732,212.323145840736
211.053,2.77,212.932145840736
211.659,2.842,213.538145840736
212.267,2.728,214.146145840736
212.874,2.78,214.753145840736
213.482,2.764,215.361145840736
214.088,2.766,215.967145840736
214.696,2.76,216.575145840736
215.302,2.668,217.181145840736
215.911,2.784,217.790145840736
216.517,2.652,218.396145840736
217.122,2.684,219.001145840736
217.731,2.782,219.610145840736
218.336,2.704,220.215145840736
218.944,2.832,220.823145840736
219.55,2.764,221.429145840736
220.156,2.774,222.035145840736
220.764,2.752,222.643145840736
221.369,2.804,223.248145840736
221.977,2.744,223.856145840736
222.583,2.806,224.462145840736
223.188,2.782,225.067145840736
223.796,2.824,225.675145840736
224.401,2.804,226.280145840736
225.007,2.84,226.886145840736
225.614,2.85,227.493145840736
226.22,2.808,228.099145840736
226.825,2.856,228.704145840736
227.43,2.852,229.309145840736
228.038,2.838,229.917145840736
228.643,3.026,230.522145840736
229.248,2.86,231.127145840736
229.853,2.988,231.732145840736
230.46,2.944,232.339145840736
231.065,2.936,232.944145840736
231.671,2.966,233.550145840736
232.275,2.962,234.154145840736
232.88,2.784,234.759145840736
233.487,3.02,235.366145840736
234.092,2.972,235.971145840736
234.697,2.976,236.576145840736
235.302,3.112,237.181145840736
235.907,3.052,237.786145840736
236.511,3.1,238.390145840736
237.118,3.142,238.997145840736
237.723,3.068,239.602145840736
238.327,3.08,240.206145840736
238.932,3.172,240.811145840736
239.536,3.106,241.415145840736
240.141,3.132,242.020145840736
240.745,3.144,242.624145840736
241.35,3.188,243.229145840736
241.954,3.116,243.833145840736
242.558,3.192,244.437145840736
243.162,3.052,245.041145840736
243.767,3.224,245.646145840736
244.371,3.176,246.250145840736
244.975,3.242,246.854145840736
245.579,3.136,247.458145840736
246.183,3.244,248.062145840736
246.787,3.212,248.666145840736
247.391,3.206,249.270145840736
247.995,3.218,249.874145840736
248.599,3.184,250.478145840736
249.203,3.266,251.082145840736
249.807,3.074,251.686145840736
250.411,3.244,252.290145840736
251.014,3.116,252.893145840736
251.618,3.232,253.497145840736
252.222,3.086,254.101145840736
252.825,3.262,254.704145840736
253.429,3.216,255.308145840736
254.03,3.128,255.909145840736
254.634,3.302,256.513145840736
255.237,3.324,257.116145840736
255.841,3.156,257.720145840736
256.444,3.236,258.323145840736
257.048,3.118,258.927145840736
257.651,3.118,259.530145840736
258.252,3.226,260.131145840736
258.855,3.028,260.734145840736
259.458,3.108,261.337145840736
260.062,3.258,261.941145840736
260.665,3.238,262.544145840736
261.266,3.108,263.145145840736
261.869,3.134,263.748145840736
262.472,3.28,264.351145840736
263.075,3.07,264.954145840736
263.676,3.052,265.555145840736
264.278,3.192,266.157145840736
264.881,3.09,266.760145840736
265.482,3.036,267.361145840736
266.085,3.144,267.964145840736
266.688,3.252,268.567145840736
267.288,3.068,269.167145840736
267.891,3.234,269.770145840736
268.493,3.11,270.372145840736
269.094,3.24,270.973145840736
269.696,3.18,271.575145840736
270.299,3.182,272.178145840736
270.899,3.064,272.778145840736
271.502,3.088,273.381145840736
272.104,3.124,273.983145840736
272.704,3.252,274.583145840736
273.307,3.192,275.186145840736
273.907,3.262,275.786145840736
274.509,3.208,276.388145840736
275.109,3.3,276.988145840736
275.711,3.28,277.590145840736
276.313,3.176,278.192145840736
276.913,3.212,278.792145840736
277.515,3.276,279.394145840736
278.115,3.184,279.994145840736
278.717,3.26,280.596145840736
279.317,3.272,281.196145840736
279.919,3.212,281.798145840736
280.519,3.156,282.398145840736
281.12,3.256,282.999145840736
281.72,3.276,283.599145840736
282.322,3.148,284.201145840736
282.921,3.292,284.800145840736
283.521,3.16,285.400145840736
284.122,3.376,286.001145840736
284.722,3.192,286.601145840736
285.323,3.262,287.202145840736
285.923,3.368,287.802145840736
286.522,3.212,288.401145840736
287.124,3.244,289.003145840736
287.723,3.224,289.602145840736
288.324,3.202,290.203145840736
288.923,3.268,290.802145840736
289.523,3.212,291.402145840736
290.124,3.248,292.003145840736
290.723,3.248,292.602145840736
291.322,3.178,293.201145840736
291.923,3.116,293.802145840736
292.522,3.334,294.401145840736
293.121,3.282,295.000145840736
293.72,3.28,295.599145840736
294.321,3.31,296.200145840736
294.919,3.28,296.798145840736
295.518,3.33,297.397145840736
296.117,3.372,297.996145840736
296.718,3.32,298.597145840736
297.316,3.35,299.195145840736
297.915,3.308,299.794145840736
298.514,3.36,300.393145840736
299.112,3.32,300.991145840736
299.713,3.374,301.592145840736
300.311,3.216,302.190145840736
300.91,3.248,302.789145840736
301.508,3.308,303.387145840736
302.106,3.308,303.985145840736
302.705,3.408,304.584145840736
303.305,3.26,305.184145840736
303.903,3.302,305.782145840736
304.501,3.248,306.380145840736
305.099,3.31,306.978145840736
305.698,3.268,307.577145840736
306.296,3.318,308.175145840736
306.894,3.24,308.773145840736
307.492,3.22,309.371145840736
308.09,3.296,309.969145840736
308.688,3.304,310.567145840736
309.285,3.344,311.164145840736
309.883,3.176,311.762145840736
310.481,3.334,312.360145840736
311.079,3.284,312.958145840736
311.677,3.216,313.556145840736
312.274,3.182,314.153145840736
312.872,3.278,314.751145840736
313.47,3.072,315.349145840736
314.067,3.216,315.946145840736
314.665,3.304,316.544145840736
315.262,3.188,317.141145840736
315.86,3.29,317.739145840736
316.457,3.336,318.336145840736
317.054,3.182,318.933145840736
317.652,3.098,319.531145840736
318.249,3.216,320.128145840736
318.846,3.35,320.725145840736
319.443,3.292,321.322145840736
320.041,3.128,321.920145840736
320.636,3.176,322.515145840736
321.233,3.104,323.112145840736
321.83,3.218,323.709145840736
322.427,3.084,324.306145840736
323.024,3.264,324.903145840736
323.621,3.296,325.500145840736
324.216,3.224,326.095145840736
324.813,3.108,326.692145840736
325.409,3.242,327.288145840736
326.006,3.16,327.885145840736
326.603,3.224,328.482145840736
327.198,3.244,329.077145840736
327.794,3.26,329.673145840736
328.391,3.208,330.270145840736
328.987,3.216,330.866145840736
329.582,3.212,331.461145840736
330.178,3.17,332.057145840736
330.775,3.174,332.654145840736
331.369,3.244,333.248145840736
331.966,3.18,333.845145840736
332.562,3.084,334.441145840736
333.158,3.2,335.037145840736
333.753,3.192,335.632145840736
334.349,3.128,336.228145840736
334.945,3.286,336.824145840736
335.539,3.076,337.418145840736
336.135,3.108,338.014145840736
336.729,3.144,338.608145840736
337.325,3.068,339.204145840736
337.921,3.13,339.800145840736
338.515,3.2,340.394145840736
339.111,3.108,340.990145840736
339.705,3.132,341.584145840736
340.301,3.194,342.180145840736
340.895,3.14,342.774145840736
341.491,3.234,343.370145840736
342.086,3.16,343.965145840736
342.68,3.178,344.559145840736
343.276,3.176,345.155145840736
343.869,3.118,345.748145840736
344.465,3.172,346.344145840736
345.058,3.252,346.937145840736
345.654,3.252,347.533145840736
346.247,3.124,348.126145840736
346.841,3.234,348.720145840736
347.436,3.202,349.315145840736
348.029,3.088,349.908145840736
348.625,3.166,350.504145840736
349.218,3.068,351.097145840736
349.813,3.126,351.692145840736
350.406,3.168,352.285145840736
350.999,3.212,352.878145840736
351.595,3.116,353.474145840736
352.188,3.198,354.067145840736
352.783,3.116,354.662145840736
353.376,3.28,355.255145840736
353.969,3.12,355.848145840736
354.563,3.192,356.442145840736
355.156,3.128,357.035145840736
355.749,3.166,357.628145840736
356.344,3.112,358.223145840736
356.937,3.164,358.816145840736
357.529,3.13,359.408145840736
358.124,3.284,360.003145840736
358.717,3.19,360.596145840736
359.309,3.144,361.188145840736
359.902,3.128,361.781145840736
360.496,3.098,362.375145840736
361.089,3.132,362.968145840736
361.681,3.154,363.560145840736
362.274,3.012,364.153145840736
362.866,3.084,364.745145840736
363.46,3.028,365.339145840736
364.053,3.096,365.932145840736
364.645,3.144,366.524145840736
365.237,3.19,367.116145840736
365.829,3.2,367.708145840736
366.423,3.182,368.302145840736
367.015,3.112,368.894145840736
367.607,3.08,369.486145840736
368.199,3.1,370.078145840736
368.791,3.138,370.670145840736
369.383,3.178,371.262145840736
369.975,3.184,371.854145840736
370.567,3.202,372.446145840736
371.159,3.222,373.038145840736
371.753,3.088,373.632145840736
372.344,3.194,374.223145840736
372.936,3.148,374.815145840736
373.528,3.138,375.407145840736
374.119,3.11,375.998145840736
374.711,3.154,376.590145840736
375.303,3.056,377.182145840736
375.894,3.032,377.773145840736
376.486,3.086,378.365145840736
377.077,3.024,378.956145840736
377.668,2.89,379.547145840736
378.26,3.094,380.139145840736
378.851,3.222,380.730145840736
379.442,3.088,381.321145840736
380.034,3.076,381.913145840736
