wavenumber,wavenumber_adjusted,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
589.148,591.027145840736,2.90267,1.90133,1.85333,1.768,1.716,1.776,1.66533,1.71733,1.59067,1.7,1.78267,3.012,4.80533,11.912,11.2467,10.176,10.2387,9.66933,10.0427,10.48
589.72,591.599145840736,2.96667,1.91867,1.788,1.66533,1.732,1.71867,1.672,1.78,1.70133,1.69867,1.82267,3.03867,4.76667,11.652,11.104,10.34,10.0427,9.61733,9.83733,10.476
590.29,592.169145840736,2.996,1.92667,1.90933,1.79067,1.728,1.71733,1.70933,1.67733,1.664,1.75467,1.80133,2.964,4.692,11.8867,11.344,10.1893,10.3973,9.68533,9.99333,10.4747
590.861,592.740145840736,2.91733,1.93067,1.80933,1.70667,1.70667,1.724,1.71867,1.728,1.64267,1.68533,1.84133,2.89333,4.78133,11.9293,10.8027,10.324,10.236,9.64133,9.82933,10.3333
591.431,593.310145840736,2.992,1.95733,1.94133,1.77067,1.76533,1.66533,1.736,1.73733,1.68533,1.63333,1.78933,3.07067,4.79867,11.84,10.908,10.1707,10.3027,9.83867,9.912,10.2933
592.001,593.880145840736,2.89733,1.95733,1.88533,1.75867,1.748,1.75867,1.71333,1.70933,1.73467,1.74933,1.82,2.92933,4.74667,11.9267,10.8613,10.236,10.28,9.53333,9.95733,10.5067
592.572,594.451145840736,2.93733,1.876,1.936,1.712,1.76667,1.64933,1.71067,1.64933,1.68133,1.68933,1.67333,2.96533,4.72933,11.7533,10.8147,10.1787,10.2587,9.612,9.796,10.452
593.142,595.021145840736,2.944,1.956,1.84667,1.776,1.772,1.64533,1.696,1.69867,1.65067,1.68,1.81067,3.14133,4.716,11.7453,10.768,10.0347,10.2853,9.82667,10.1413,10.5747
593.713,595.592145840736,3.024,1.93467,1.91867,1.81067,1.76533,1.70667,1.77333,1.73733,1.71467,1.72533,1.71867,3.04533,4.772,12.1147,11.044,10.1547,10.2347,9.71067,9.95333,10.3653
594.283,596.162145840736,2.93867,1.92533,1.92,1.87333,1.80533,1.75333,1.74533,1.70267,1.68667,1.75733,1.844,3.004,4.748,11.92,11.0653,10.28,10.308,9.76267,9.988,10.5933
594.852,596.731145840736,3.04933,2.02,1.86667,1.83733,1.80533,1.692,1.71467,1.68267,1.72133,1.79867,1.87867,3.01067,4.77867,12.172,10.916,10.2733,10.416,9.76,10.004,10.5027
595.424,597.303145840736,3.03467,2,1.84933,1.79867,1.83867,1.752,1.712,1.66133,1.75467,1.71067,1.812,3.15733,4.84133,12.1773,11.26,10.4813,10.536,9.948,10.2467,10.9453
595.993,597.872145840736,3.02667,2.02267,1.94,1.8,1.828,1.81333,1.74667,1.716,1.78267,1.76267,1.91733,3.012,4.79467,12.1467,11.4987,10.5747,10.6747,10.1787,10.196,10.8307
596.564,598.443145840736,3.01867,1.94533,1.95333,1.72133,1.76267,1.78667,1.77867,1.69867,1.76133,1.70133,1.80933,3.05733,4.83333,12.1867,11.3307,10.6827,10.696,10.048,10.3613,10.7613
597.134,599.013145840736,3.02667,1.98133,1.86533,1.79333,1.72667,1.732,1.80533,1.69867,1.676,1.696,1.85733,3.13333,4.668,12.3173,11.3013,10.5387,10.5387,10.1627,10.2413,10.732
597.703,599.582145840736,2.976,1.99333,1.98667,1.91333,1.83867,1.76133,1.63467,1.696,1.74133,1.712,1.908,3.10667,4.72133,12.3773,11.3933,10.672,10.6773,10.056,10.2693,10.88
598.274,600.153145840736,2.88533,2.012,1.91467,1.89733,1.764,1.66,1.74,1.724,1.72,1.696,1.868,3.06267,4.844,12.1533,11.376,10.6267,10.624,10.2107,10.5173,10.8133
