wavenumber,counts,wavenumber_adjusted
92.9165,1.485,95.259640627977
93.5349,1.55,95.878040627977
94.151,1.9725,96.494140627977
94.7692,2.1775,97.112340627977
95.3853,2.515,97.728440627977
96.0035,2.67,98.346640627977
96.6195,2.4825,98.962640627977
97.2354,2.465,99.578540627977
97.8534,2.425,100.196540627977
98.4693,2.46,100.812440627977
99.0851,2.53,101.428240627977
99.703,2.7875,102.046140627977
100.319,2.65,102.662140627977
100.934,2.66,103.277140627977
101.552,2.4325,103.895140627977
102.168,2.4975,104.511140627977
102.783,2.39,105.126140627977
103.401,2.2,105.744140627977
104.017,2.33,106.360140627977
104.632,2.44,106.975140627977
105.247,2.585,107.590140627977
105.865,2.8725,108.208140627977
106.48,2.905,108.823140627977
107.096,3.11,109.439140627977
107.711,3.12,110.054140627977
108.328,3.1175,110.671140627977
108.943,2.9075,111.286140627977
109.559,2.75,111.902140627977
110.174,2.39,112.517140627977
110.789,2.2775,113.132140627977
111.406,2.2,113.749140627977
112.021,2.1425,114.364140627977
112.636,2.235,114.979140627977
113.251,2.1325,115.594140627977
113.865,2.29,116.208140627977
114.48,2.31,116.823140627977
115.095,2.3825,117.438140627977
115.712,2.4625,118.055140627977
116.327,2.535,118.670140627977
116.941,2.515,119.284140627977
117.556,2.5125,119.899140627977
118.17,2.35,120.513140627977
118.785,2.3875,121.128140627977
119.399,2.27,121.742140627977
120.014,2.315,122.357140627977
120.628,2.29,122.971140627977
121.243,2.185,123.586140627977
121.857,2.315,124.200140627977
122.471,2.4125,124.814140627977
123.085,2.48,125.428140627977
123.7,2.54,126.043140627977
124.314,2.5625,126.657140627977
124.928,2.465,127.271140627977
125.542,2.42,127.885140627977
126.156,2.2275,128.499140627977
126.77,2.2525,129.113140627977
127.384,2.1575,129.727140627977
127.998,2.1225,130.341140627977
128.612,2.18,130.955140627977
129.226,2.2375,131.569140627977
129.839,2.2225,132.182140627977
130.453,2.3,132.796140627977
131.067,2.265,133.410140627977
131.678,2.2975,134.021140627977
132.292,2.385,134.635140627977
132.906,2.085,135.249140627977
133.519,2.175,135.862140627977
134.133,2.075,136.476140627977
134.746,2.105,137.089140627977
135.357,2.06,137.700140627977
135.971,2.005,138.314140627977
136.584,2.045,138.927140627977
137.198,2.2,139.541140627977
137.811,2.1625,140.154140627977
138.422,2.2825,140.765140627977
139.035,2.29,141.378140627977
139.648,2.4,141.991140627977
140.261,2.41,142.604140627977
140.874,2.35,143.217140627977
141.485,2.225,143.828140627977
142.098,2.13,144.441140627977
142.711,2.03,145.054140627977
143.322,1.99,145.665140627977
143.935,2.1175,146.278140627977
144.548,2.03,146.891140627977
145.161,1.97,147.504140627977
145.771,2.125,148.114140627977
146.384,2.0575,148.727140627977
146.997,2.045,149.340140627977
147.607,2.145,149.950140627977
148.22,2.19,150.563140627977
148.83,2.055,151.173140627977
149.443,1.915,151.786140627977
150.055,2.0375,152.398140627977
150.665,2.045,153.008140627977
151.278,1.795,153.621140627977
151.888,2.075,154.231140627977
152.5,2.11,154.843140627977
153.113,2.065,155.456140627977
153.723,2.1,156.066140627977
154.335,2.035,156.678140627977
154.945,2.055,157.288140627977
155.557,2.19,157.900140627977
156.167,2.23,158.510140627977
156.779,2.1375,159.122140627977
157.389,2.065,159.732140627977
158.001,2.035,160.344140627977
158.611,1.9325,160.954140627977
159.222,1.92,161.565140627977
159.832,1.9625,162.175140627977
160.444,1.995,162.787140627977
161.054,2.0375,163.397140627977
161.665,1.9075,164.008140627977
162.275,1.88,164.618140627977
162.884,1.99,165.227140627977
163.496,2.0675,165.839140627977
164.105,2.055,166.448140627977
164.717,2.015,167.060140627977
165.326,1.99,167.669140627977
165.935,1.945,168.278140627977
166.547,1.945,168.890140627977
167.156,2.0325,169.499140627977
167.765,2,170.108140627977
168.376,2.005,170.719140627977
168.986,1.945,171.329140627977
169.595,2.1175,171.938140627977
170.206,2.025,172.549140627977
170.815,2.095,173.158140627977
171.424,2.045,173.767140627977
172.035,2.1,174.378140627977
172.644,2.0975,174.987140627977
173.252,2.105,175.595140627977
173.861,2.0125,176.204140627977
174.472,2.0475,176.815140627977
175.081,2.01,177.424140627977
175.689,1.935,178.032140627977
176.298,2.0925,178.641140627977
176.909,1.93,179.252140627977
177.517,2.0225,179.860140627977
178.126,1.93,180.469140627977
178.734,1.9925,181.077140627977
179.343,2.0525,181.686140627977
179.953,1.91,182.296140627977
180.562,1.95,182.905140627977
181.17,1.89,183.513140627977
181.778,1.97,184.121140627977
182.386,1.965,184.729140627977
182.995,1.965,185.338140627977
183.603,1.9475,185.946140627977
184.213,2.0025,186.556140627977
184.821,2.015,187.164140627977
185.429,1.9525,187.772140627977
186.037,2.105,188.380140627977
186.645,1.9925,188.988140627977
187.253,2.065,189.596140627977
187.861,2.0775,190.204140627977
188.469,1.9975,190.812140627977
189.076,1.92,191.419140627977
189.684,2.035,192.027140627977
190.292,1.925,192.635140627977
190.9,1.935,193.243140627977
191.507,1.865,193.850140627977
192.115,1.96,194.458140627977
192.722,2.06,195.065140627977
193.33,2.0175,195.673140627977
193.937,2.01,196.280140627977
194.545,1.9525,196.888140627977
195.152,2.075,197.495140627977
195.76,1.905,198.103140627977
196.367,1.8675,198.710140627977
196.974,1.9525,199.317140627977
197.581,1.8925,199.924140627977
198.186,2.025,200.529140627977
198.794,2.1625,201.137140627977
199.401,1.925,201.744140627977
200.008,2.05,202.351140627977
200.615,1.9625,202.958140627977
201.222,1.9475,203.565140627977
201.829,1.9075,204.172140627977
202.436,1.9275,204.779140627977
203.041,1.9925,205.384140627977
203.647,2.04,205.990140627977
204.254,1.9625,206.597140627977
204.861,1.965,207.204140627977
205.468,1.86,207.811140627977
206.072,1.885,208.415140627977
206.679,1.99,209.022140627977
207.285,1.9775,209.628140627977
207.892,1.9325,210.235140627977
208.496,1.955,210.839140627977
209.103,1.97,211.446140627977
209.709,2.05,212.052140627977
210.316,1.945,212.659140627977
210.92,2.015,213.263140627977
211.526,1.9725,213.869140627977
212.133,1.88,214.476140627977
212.737,1.955,215.080140627977
213.343,1.915,215.686140627977
213.949,2.0025,216.292140627977
214.553,2.005,216.896140627977
215.159,1.86,217.502140627977
215.765,1.9625,218.108140627977
216.369,2.0075,218.712140627977
216.975,1.985,219.318140627977
217.579,1.9375,219.922140627977
218.185,2.07,220.528140627977
218.791,2.04,221.134140627977
219.395,1.965,221.738140627977
220,1.9775,222.343140627977
220.604,1.93,222.947140627977
221.21,1.98,223.553140627977
221.813,2.0775,224.156140627977
222.419,2.01,224.762140627977
223.022,2.025,225.365140627977
223.628,1.9475,225.971140627977
224.231,2.085,226.574140627977
224.837,1.9,227.180140627977
225.44,1.995,227.783140627977
226.045,1.985,228.388140627977
226.649,1.935,228.992140627977
227.254,2.115,229.597140627977
227.857,1.99,230.200140627977
228.462,1.9675,230.805140627977
229.065,2.045,231.408140627977
229.67,2.0575,232.013140627977
230.273,2.04,232.616140627977
230.876,2.065,233.219140627977
231.481,1.945,233.824140627977
232.084,2.195,234.427140627977
232.689,1.96,235.032140627977
233.292,2.18,235.635140627977
233.895,2.1675,236.238140627977
234.5,2.165,236.843140627977
235.102,2.23,237.445140627977
235.705,2.155,238.048140627977
236.31,2.115,238.653140627977
236.912,2.2075,239.255140627977
237.515,2.185,239.858140627977
238.119,2.1075,240.462140627977
238.722,2.2525,241.065140627977
239.324,2.24,241.667140627977
239.927,2.14,242.270140627977
240.531,2.1625,242.874140627977
241.133,2.0625,243.476140627977
241.736,2.2275,244.079140627977
242.338,2.305,244.681140627977
242.942,2.2225,245.285140627977
243.544,2.055,245.887140627977
244.146,2.17,246.489140627977
244.748,2.2325,247.091140627977
245.35,2.115,247.693140627977
245.955,2.175,248.298140627977
246.556,2.185,248.899140627977
247.158,2.185,249.501140627977
247.76,2.165,250.103140627977
248.362,2.2,250.705140627977
248.964,2.225,251.307140627977
249.566,2.1275,251.909140627977
250.169,2.1775,252.512140627977
250.771,2.14,253.114140627977
251.373,2.2525,253.716140627977
251.974,2.1475,254.317140627977
252.576,2.175,254.919140627977
253.177,2.205,255.520140627977
253.779,2.0775,256.122140627977
254.38,1.895,256.723140627977
254.982,2.15,257.325140627977
255.583,2.11,257.926140627977
256.184,2.16,258.527140627977
256.786,2.175,259.129140627977
