wavenumber,counts,wavenumber_adjusted
197.067,1.23,198.946145840736
197.674,1.405,199.553145840736
198.283,1.67,200.162145840736
198.893,1.8925,200.772145840736
199.502,2.005,201.381145840736
200.109,2.18,201.988145840736
200.718,2.095,202.597145840736
201.327,2.355,203.206145840736
201.934,2.2025,203.813145840736
202.543,2.3225,204.422145840736
203.15,2.06,205.029145840736
203.759,2.36,205.638145840736
204.368,2.335,206.247145840736
204.975,2.295,206.854145840736
205.584,2.4075,207.463145840736
206.19,2.365,208.069145840736
206.799,2.285,208.678145840736
207.408,2.345,209.287145840736
208.014,2.3825,209.893145840736
208.623,2.2975,210.502145840736
209.229,2.37,211.108145840736
209.838,2.3025,211.717145840736
210.444,2.2575,212.323145840736
211.053,2.305,212.932145840736
211.659,2.3825,213.538145840736
212.267,2.36,214.146145840736
212.874,2.265,214.753145840736
213.482,2.365,215.361145840736
214.088,2.21,215.967145840736
214.696,2.295,216.575145840736
215.302,2.335,217.181145840736
215.911,2.34,217.790145840736
216.517,2.285,218.396145840736
217.122,2.28,219.001145840736
217.731,2.3975,219.610145840736
218.336,2.3,220.215145840736
218.944,2.515,220.823145840736
219.55,2.425,221.429145840736
220.156,2.355,222.035145840736
220.764,2.37,222.643145840736
221.369,2.4225,223.248145840736
221.977,2.4975,223.856145840736
222.583,2.4025,224.462145840736
223.188,2.3675,225.067145840736
223.796,2.365,225.675145840736
224.401,2.42,226.280145840736
225.007,2.26,226.886145840736
225.614,2.37,227.493145840736
226.22,2.41,228.099145840736
226.825,2.405,228.704145840736
227.43,2.445,229.309145840736
228.038,2.5,229.917145840736
228.643,2.47,230.522145840736
229.248,2.4775,231.127145840736
229.853,2.5,231.732145840736
230.46,2.485,232.339145840736
231.065,2.43,232.944145840736
231.671,2.585,233.550145840736
232.275,2.4775,234.154145840736
232.88,2.475,234.759145840736
233.487,2.6675,235.366145840736
234.092,2.5475,235.971145840736
234.697,2.4675,236.576145840736
235.302,2.66,237.181145840736
235.907,2.63,237.786145840736
236.511,2.7275,238.390145840736
237.118,2.6275,238.997145840736
237.723,2.715,239.602145840736
238.327,2.625,240.206145840736
238.932,2.705,240.811145840736
239.536,2.655,241.415145840736
240.141,2.64,242.020145840736
240.745,2.7725,242.624145840736
241.35,2.6625,243.229145840736
241.954,2.625,243.833145840736
242.558,2.7025,244.437145840736
243.162,2.67,245.041145840736
243.767,2.6725,245.646145840736
244.371,2.755,246.250145840736
244.975,2.84,246.854145840736
245.579,2.78,247.458145840736
246.183,2.7675,248.062145840736
246.787,2.665,248.666145840736
247.391,2.74,249.270145840736
247.995,2.785,249.874145840736
248.599,2.715,250.478145840736
249.203,2.685,251.082145840736
249.807,2.57,251.686145840736
250.411,2.685,252.290145840736
251.014,2.7275,252.893145840736
251.618,2.715,253.497145840736
252.222,2.685,254.101145840736
252.825,2.7425,254.704145840736
253.429,2.745,255.308145840736
254.03,2.635,255.909145840736
254.634,2.74,256.513145840736
255.237,2.6475,257.116145840736
255.841,2.705,257.720145840736
256.444,2.645,258.323145840736
257.048,2.6825,258.927145840736
257.651,2.63,259.530145840736
258.252,2.7,260.131145840736
258.855,2.6575,260.734145840736
259.458,2.5825,261.337145840736
260.062,2.7825,261.941145840736
