wavenumber,counts,wavenumber_adjusted
197.067,1.57333,198.946145840736
197.674,1.82933,199.553145840736
198.283,2.22133,200.162145840736
198.893,2.412,200.772145840736
199.502,2.564,201.381145840736
200.109,2.864,201.988145840736
200.718,2.944,202.597145840736
201.327,3.024,203.206145840736
201.934,2.99467,203.813145840736
202.543,3.04667,204.422145840736
203.15,3.06267,205.029145840736
203.759,3.08533,205.638145840736
204.368,3.00667,206.247145840736
204.975,3.06,206.854145840736
205.584,3.10667,207.463145840736
206.19,3.17067,208.069145840736
206.799,3.14933,208.678145840736
207.408,3.17467,209.287145840736
208.014,3.048,209.893145840736
208.623,3.00133,210.502145840736
209.229,3.11733,211.108145840736
209.838,3.06933,211.717145840736
210.444,3.03467,212.323145840736
211.053,3.156,212.932145840736
211.659,3.09733,213.538145840736
212.267,3.10933,214.146145840736
212.874,3.05467,214.753145840736
213.482,3.09733,215.361145840736
214.088,3.04533,215.967145840736
214.696,3.144,216.575145840736
215.302,3.14533,217.181145840736
215.911,3.16,217.790145840736
216.517,3.20933,218.396145840736
217.122,3.16533,219.001145840736
217.731,3.19467,219.610145840736
218.336,3.16,220.215145840736
218.944,3.10533,220.823145840736
219.55,3.10267,221.429145840736
220.156,3.04533,222.035145840736
220.764,3.248,222.643145840736
221.369,3.14667,223.248145840736
221.977,3.14533,223.856145840736
222.583,3.33467,224.462145840736
223.188,3.236,225.067145840736
223.796,3.276,225.675145840736
224.401,3.27467,226.280145840736
225.007,3.28533,226.886145840736
225.614,3.35867,227.493145840736
226.22,3.376,228.099145840736
226.825,3.33467,228.704145840736
227.43,3.276,229.309145840736
228.038,3.228,229.917145840736
228.643,3.35733,230.522145840736
229.248,3.472,231.127145840736
229.853,3.36267,231.732145840736
230.46,3.30667,232.339145840736
231.065,3.33467,232.944145840736
231.671,3.35867,233.550145840736
232.275,3.42933,234.154145840736
232.88,3.444,234.759145840736
233.487,3.42933,235.366145840736
234.092,3.512,235.971145840736
234.697,3.37733,236.576145840736
235.302,3.41867,237.181145840736
235.907,3.47867,237.786145840736
236.511,3.48533,238.390145840736
237.118,3.572,238.997145840736
237.723,3.63067,239.602145840736
238.327,3.504,240.206145840736
238.932,3.33467,240.811145840736
239.536,3.46267,241.415145840736
240.141,3.59467,242.020145840736
240.745,3.592,242.624145840736
241.35,3.484,243.229145840736
241.954,3.612,243.833145840736
242.558,3.54533,244.437145840736
243.162,3.64267,245.041145840736
243.767,3.54133,245.646145840736
244.371,3.52533,246.250145840736
244.975,3.62933,246.854145840736
245.579,3.67867,247.458145840736
246.183,3.612,248.062145840736
246.787,3.636,248.666145840736
247.391,3.60933,249.270145840736
247.995,3.66133,249.874145840736
248.599,3.68667,250.478145840736
