197.067	1.37
197.674	1.53
198.283	1.9725
198.893	2.195
199.502	2.2375
200.109	2.525
200.718	2.59
201.327	2.72
201.934	2.655
202.543	2.7475
203.15	2.7325
203.759	2.7275
204.368	2.53
204.975	2.7725
205.584	2.66
206.19	2.7225
206.799	2.66
207.408	2.6225
208.014	2.72
208.623	2.685
209.229	2.6875
209.838	2.55
210.444	2.6725
211.053	2.71
211.659	2.7975
212.267	2.83
212.874	2.7525
213.482	2.8375
214.088	2.655
214.696	2.795
215.302	2.755
215.911	2.645
216.517	2.7625
217.122	2.76
217.731	2.665
218.336	2.7375
218.944	2.7975
219.55	2.74
220.156	2.625
220.764	2.54
221.369	2.89
221.977	2.8825
222.583	2.905
223.188	2.86
223.796	2.7675
224.401	2.77
225.007	2.825
225.614	2.86
226.22	2.99
226.825	2.945
227.43	2.9775
228.038	2.925
228.643	2.91
229.248	3
229.853	2.9275
230.46	2.7675
231.065	2.945
231.671	3.03
232.275	3.015
232.88	3.06
233.487	3.035
234.092	3.1975
234.697	2.935
235.302	3.065
235.907	3.0825
236.511	2.95
237.118	3.1525
237.723	2.9975
238.327	2.9925
238.932	3.0525
239.536	3.1975
240.141	3.09
240.745	3.1
241.35	3.115
241.954	3.095
242.558	3.0775
243.162	3.08
243.767	3.1175
244.371	3.2
244.975	3.135
245.579	3.05
246.183	3.165
246.787	3.18
247.391	3.2425
247.995	3.22
248.599	3.2725
249.203	3.1875
249.807	3.13
250.411	3.2175
251.014	3.1575
251.618	3.165
252.222	3.175
252.825	3.26
253.429	3.245
254.03	3.095
254.634	3.1575
255.237	3.18
255.841	3.2075
256.444	3.055
257.048	3.2325
257.651	3.0775
258.252	3.1725
258.855	3.0825
259.458	3.2675
260.062	3.2225
260.665	3.08
261.266	3.1075
261.869	3.165
262.472	3.22
263.075	3.065
263.676	3.1575
264.278	2.95
264.881	3.235
265.482	3.0975
266.085	3.1
266.688	3.16
267.288	3.275
267.891	3.165
268.493	3.1325
269.094	3.2025
269.696	3.25
270.299	3.255
270.899	3.305
271.502	3.2
272.104	3.1425
272.704	2.985
273.307	3.2025
273.907	3.195
274.509	3.15
275.109	3.21
275.711	3.2225
276.313	3.235
276.913	3.225
277.515	3.145
278.115	3.13
278.717	3.215
279.317	3.095
279.919	3.16
280.519	3.2775
281.12	3.28
281.72	3.29
282.322	3.1975
282.921	3.2075
283.521	3.1975
284.122	3.2675
284.722	3.205
285.323	3.195
285.923	3.06
286.522	3.305
287.124	3.33
287.723	3.255
288.324	3.1375
288.923	3.2225
289.523	3.31
290.124	3.1175
290.723	3.26
291.322	3.2725
291.923	3.3525
292.522	3.28
293.121	3.16
293.72	3.15
294.321	3.3
294.919	3.2325
295.518	3.325
296.117	3.365
296.718	3.2125
297.316	3.3575
297.915	3.24
298.514	3.2475
299.112	3.3175
299.713	3.315
300.311	3.1825
300.91	3.305
301.508	3.3175
302.106	3.4325
302.705	3.175
303.305	3.155
303.903	3.145
304.501	3.24
