wavenumber	counts
242.67	9.68421
243.053	9.1579
243.434	7.89474
243.817	8.73684
244.2	10.4211
244.581	9.36842
244.964	10
245.346	7.26316
245.727	11.4737
246.11	9.36842
246.491	8.63158
246.874	9.26316
247.256	5.05263
247.637	6.52632
248.02	7.89474
248.401	8
248.783	7.78947
249.164	9.57895
249.546	10
249.927	6
250.31	10.2105
250.691	7.47368
251.073	7.57895
251.454	8.94737
251.836	7.78947
252.217	8.42105
252.599	9.68421
252.98	5.78947
253.362	9.26316
253.743	10.7368
254.124	7.05263
254.506	11.3684
254.886	8
255.267	8.31579
255.649	7.47368
256.03	9.89474
256.41	9.36842
256.792	10.2105
257.173	9.47369
257.554	6.94737
257.936	9.89474
258.316	8.10526
258.697	5.78947
259.077	7.05263
259.459	6.42105
259.839	8.8421
260.22	9.78947
260.6	7.57895
260.982	6.21053
261.362	9.36842
261.743	9.47369
262.123	7.57895
262.503	6
262.884	8.63158
263.265	8.73684
263.646	8.84211
264.026	7.26316
264.406	9.89474
264.786	8.73684
265.166	10
265.547	9.68421
265.927	10
266.307	8.10526
266.687	8.94737
267.067	5.89474
267.447	8.31579
267.827	8.52632
268.207	9.78947
268.587	8.63158
268.967	8.8421
269.347	9.36842
269.727	8.73684
270.107	6.42105
270.487	9.57895
270.867	8.10526
271.247	10
271.626	7.05263
272.006	6.10526
272.386	10.3158
272.766	10.3158
273.144	7.26316
273.524	9.05263
273.904	8.10526
274.284	9.47368
274.663	10.2105
275.043	11.0526
275.421	9.26316
275.801	12.2105
276.18	8.31579
276.56	8
276.938	7.15789
277.318	8
277.697	9.78947
278.077	8.21053
278.455	8.31579
278.834	8.21053
279.214	8.52632
279.592	7.78947
279.971	7.36842
280.351	6.94737
280.729	6
281.108	6.10526
281.487	8.31579
281.865	8.31579
282.245	6.42105
282.622	8.94737
283.002	5.47368
283.381	8.31579
283.759	7.47368
284.138	10.3158
284.516	7.26316
284.895	7.36842
285.273	6.63158
285.652	10
286.03	8.73684
286.409	10.5263
286.786	9.26316
287.165	9.89474
287.543	10.6316
287.922	7.89474
288.3	9.05263
288.677	9.26316
289.056	6.31579
289.434	11.0526
289.813	9.26316
290.19	7.57895
290.568	8.10526
290.947	8.84211
291.324	9.47368
291.701	8.31579
292.08	9.47369
292.458	10.4211
292.835	6.42105
293.214	7.78947
293.591	7.05263
293.968	8.8421
294.346	6.8421
294.724	10
295.102	7.78947
295.479	9.78947
295.856	9.68421
296.235	8.63158
296.612	7.26316
296.989	8.21053
297.366	9.1579
297.743	9.36842
298.12	7.57895
298.499	8
298.876	6.8421
299.253	9.57895
299.63	9.57895
300.007	9.57895
300.384	10.1053
300.761	7.57895
301.138	10.9474
301.515	7.57895
301.892	7.36842
302.269	8.94737
302.646	7.1579
303.022	10.7368
303.399	6
303.776	6.73684
304.153	6
304.53	6.84211
304.906	10.1053
305.283	6.52632
305.66	7.68421
306.037	7.26316
306.413	9.05263
306.79	8.21053
307.167	8.31579
307.543	11.4737
307.92	7.36842
308.295	7.78947
308.672	8.94737
309.048	8.63158
309.425	10.7368
309.801	8.31579
310.178	9.05263
310.553	7.68421
310.929	7.36842
311.306	9.36842
311.682	8.8421
312.057	8.94737
312.433	7.78947
312.81	5.57895
313.186	6.73684
313.561	6.52632
313.937	9.57895
314.314	7.05263
314.688	8.63158
315.065	7.36842
315.441	9.68421
315.816	8.73684
316.192	8.73684
316.568	6.21053
316.943	7.68421
317.319	9.47369
317.694	7.68421
318.07	7.89474
318.446	8.8421
318.821	10
319.197	9.78947
319.571	8
319.947	6.73684
320.322	10.4211
320.698	6.42105
321.072	10.3158
321.448	8.42105
321.823	6.31579
322.199	8.21053
322.573	9.1579
322.948	7.15789
323.323	8.31579
323.698	9.05263
324.074	7.05263
324.448	9.05263
324.822	10.3158
325.198	7.05263
325.572	6.84211
325.948	7.89474
326.322	8
326.697	6.63158
327.072	8.73684
327.447	6.42105
327.821	8.63158
328.195	8.8421
328.57	6.31579
328.945	9.47368
329.319	9.47368
329.693	7.26316
330.068	8.73684
330.442	8.63158
330.816	10
331.191	7.89474
331.565	9.47368
331.94	6.63158
332.314	9.36842
332.688	10.7368
333.062	6.42105
333.436	8.63158
333.81	10.2105
334.184	6.10526
334.559	7.47368
334.933	9.36842
335.307	9.68421
335.68	5.89474
336.054	11.6842
336.428	9.57895
336.802	7.78947
337.175	4.63158
337.549	7.26316
337.923	7.57895
338.296	7.57895
338.67	8.52632
339.044	8.73684
339.417	6.94737
339.791	8.42105
340.165	9.36842
340.538	9.26316
340.912	7.26316
341.284	8.52632
341.657	9.89474
342.031	7.89474
342.404	6.52632
342.778	9.1579
343.151	7.68421
343.525	8.94737
343.897	5.68421
344.27	8.21053
344.643	8.21053
345.017	9.89474
345.39	8
345.762	7.05263
346.135	10.2105
346.509	9.68421
346.882	7.89474
347.254	8.42105
347.627	9.57895
348	8.73684
348.373	8.8421
348.745	9.1579
349.118	6.21053
349.491	9.26316
349.863	8.8421
350.236	8.52631
350.608	8.73684
350.981	8.21053
351.354	6.63158
351.725	9.47369
352.098	8.42105
352.47	7.26316
