x sto yy 4 5,y sto yy 4 5,x sto xx 4 5,y sto xx 4 5,x sto xx 8 2,y sto xx 8 2,x sto BULK,y sto BULK,x sto xy 8 2,y sto xy 8 2,x sto yx 8 2,y sto yx 8 2
203.206145840736,-0.0149747221153632,211.108145840736,0.2121937672984112,203.206145840736,0.236687027705285,107.528,4.007708153782157,203.206145840736,0.0872516574313321,203.206145840736,0.04609312799301879
203.813145840736,-0.0051118326475645,211.717145840736,0.214578304507845,203.813145840736,0.2387887475135277,107.922,4.024799449421662,203.813145840736,0.0879454498354697,203.813145840736,0.048651716690195634
204.422145840736,0.0048064502908447,212.323145840736,0.217002348205641,204.422145840736,0.240935363572905,108.318,4.042094798700662,204.422145840736,0.0886501417615227,204.422145840736,0.05122856014799115
205.029145840736,0.0147132544145186,212.932145840736,0.2194918312375078,205.029145840736,0.2431140124659278,108.711,4.05937649122075,205.029145840736,0.0893612397418302,205.029145840736,0.05380641189619517
205.638145840736,0.0246721185269941,213.538145840736,0.2220242538038969,205.638145840736,0.245340355976048,109.105,4.076820648948547,205.638145840736,0.0900835674353629,205.638145840736,0.05640192864428073
206.247145840736,0.0346486759382305,214.146145840736,0.2246225236575502,206.247145840736,0.2476086576670701,109.501,4.094474049041612,206.247145840736,0.0908149364022278,206.247145840736,0.05900629239905708
206.854145840736,0.0446083195839149,214.753145840736,0.2272762316303047,206.854145840736,0.2499127030047856,109.894,4.112114489029645,206.854145840736,0.0915530415471562,206.854145840736,0.061610561082767745
207.463145840736,0.0546149119598885,215.361145840736,0.2299965301187078,207.463145840736,0.252269199229979,110.288,4.129921758489417,207.463145840736,0.0923028905680226,207.463145840736,0.0642315415112682
208.069145840736,0.0645844994930349,215.967145840736,0.2327723815863429,208.069145840736,0.2546602846082543,110.682,4.147852304455962,208.069145840736,0.0930584488252145,208.069145840736,0.06684733490236994
208.678145840736,0.0746140116989792,216.575145840736,0.2356248100340398,208.678145840736,0.2571113285124747,111.076,4.165907321350648,208.678145840736,0.0938273446155026,208.678145840736,0.06948347001855293
209.287145840736,0.0846523316923973,217.181145840736,0.2385379033911066,209.287145840736,0.2596124088527398,111.471,4.18413432338401,209.287145840736,0.0946060110986217,209.287145840736,0.07212663659132534
209.893145840736,0.0946481651853287,217.790145840736,0.2415389238856438,209.893145840736,0.2621527219215464,111.865,4.202442249106315,209.893145840736,0.0953906910667908,209.893145840736,0.07476337811522527
210.502145840736,0.1046986892963178,218.396145840736,0.2446015302901963,210.502145840736,0.2647594263644116,112.258,4.220831367497175,210.502145840736,0.0961893069428343,210.502145840736,0.077419407060213
211.108145840736,0.1147031019017469,219.001145840736,0.2477384869044651,211.108145840736,0.2674089536447803,112.652,4.2393965148486,211.108145840736,0.0969941447488158,211.108145840736,0.08006815658770261
211.717145840736,0.1247586610456477,219.610145840736,0.2509799757519862,211.717145840736,0.2701297936185609,113.046,4.258092334182427,211.717145840736,0.0978133301734271,211.717145840736,0.08273544246634312
212.323145840736,0.1347645126661363,220.215145840736,0.2542872921378504,212.323145840736,0.2728975211699541,113.441,4.276968068394082,212.323145840736,0.0986389501514772,212.323145840736,0.08539457156412045
212.932145840736,0.1448179283794743,220.823145840736,0.2577026432083305,212.932145840736,0.2757420877925369,113.835,4.295929450982801,212.932145840736,0.0994793396233181,212.932145840736,0.08807144704585657
213.538145840736,0.1548180762330351,221.429145840736,0.2612025852297058,213.538145840736,0.2786381623745949,114.228,4.3149767829350845,213.538145840736,0.1003263799639931,213.538145840736,0.09073926616104533
214.146145840736,0.1648456868160576,222.035145840736,0.2648029058943402,214.146145840736,0.2816123582159173,114.622,4.334208332044,214.146145840736,0.1011871964656189,214.146145840736,0.09341959178153125
214.753145840736,0.1748494859740991,222.643145840736,0.2685210436089631,214.753145840736,0.2846532354315449,115.015,4.353527823580678,214.753145840736,0.1020577331795151,214.753145840736,0.09609876259392713
215.361145840736,0.1848606515311337,223.248145840736,0.2723315350866213,215.361145840736,0.2877740961440144,115.409,4.373034944872559,215.361145840736,0.1029410247058681,215.361145840736,0.09878515249052455
215.967145840736,0.1948280386353537,223.856145840736,0.2762779555629112,215.967145840736,0.2909628470561016,115.802,4.392632057268902,215.967145840736,0.1038328515107674,215.967145840736,0.1014650408423865
216.575145840736,0.2048156667477011,224.462145840736,0.280334310915397,216.575145840736,0.2942442853739801,116.197,4.412470701630432,216.575145840736,0.1047392688075478,216.575145840736,0.10415564932455457
217.181145840736,0.2147560695407441,225.067145840736,0.284512965562357,217.181145840736,0.2976008213936588,116.591,4.432402171169437,217.181145840736,0.1056544822376484,217.181145840736,0.10683880431678983
217.790145840736,0.2247294633294803,225.675145840736,0.2888492881705502,217.790145840736,0.3010646824249676,116.984,4.452426817285828,217.790145840736,0.1065862433845449,217.790145840736,0.10953616489451967
218.396145840736,0.2346358415906969,226.280145840736,0.2933080559594624,218.396145840736,0.3046063523424264,117.378,4.472648007073641,218.396145840736,0.1075255432552835,218.396145840736,0.11222066965770416
219.001145840736,0.2445063468151607,226.886145840736,0.2979261567462259,219.001145840736,0.3082415099593613,117.771,4.492964569495727,219.001145840736,0.1084755325699639,219.001145840736,0.11490068383013519
219.610145840736,0.2544206726309387,227.493145840736,0.3027130779174878,219.610145840736,0.3120062896015348,118.165,4.513481395737374,219.610145840736,0.1094443263861994,219.610145840736,0.11759785468913897
220.215145840736,0.2642468684846251,228.099145840736,0.3076624048197601,220.215145840736,0.3158569594402038,118.558,4.534095853065244,220.215145840736,0.1104193701266932,220.215145840736,0.12027624762731026
